City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
198,Carmelo,UY,-33.99,-58.29,68.0,93,0,5.14,clear sky,0.0,0.0
199,Roald,NO,62.58,6.13,39.2,93,0,10.29,clear sky,0.0,0.0
200,Vardo,NO,70.37,31.11,37.4,86,75,17.22,shower rain,0.0,0.0
201,Kuusamo,FI,65.97,29.18,35.6,93,90,5.82,light intensity shower rain,0.0,0.0
202,Darhan,MN,49.49,105.92,31.64,57,98,12.21,light snow,0.0,0.22
203,Najran,SA,17.49,44.13,69.8,73,40,4.7,dust,0.0,0.0
204,Lavrentiya,RU,65.58,-171.0,19.63,92,100,7.83,overcast clouds,0.0,0.0
205,Anadyr,RU,64.75,177.48,19.4,79,40,4.47,scattered clouds,0.0,0.0
206,Sakakah,SA,29.97,40.21,64.4,48,4,6.93,clear sky,0.0,0.0
207,Conceicao Do Araguaia,BR,-8.26,-49.26,73.83,90,100,0.74,moderate rain,4.74,0.0
208,El Alto,PE,-4.27,-81.21,73.11,70,97,10.16,overcast clouds,0.0,0.0
209,Bubaque,GW,11.28,-15.83,77.59,71,48,12.1,scattered clouds,0.0,0.0
210,Tura,IN,25.52,90.22,79.81,63,97,6.87,light rain,0.11,0.0
211,Waingapu,ID,-9.66,120.26,85.71,62,58,4.74,broken clouds,0.0,0.0
212,Benicarlo,ES,40.42,0.43,55.99,81,100,15.01,light rain,1.41,0.0
213,Khovu-Aksy,RU,51.13,93.6,48.34,27,0,2.21,clear sky,0.0,0.0
214,Meybod,IR,32.25,54.02,59.0,54,63,2.24,broken clouds,0.0,0.0
215,Pringsewu,ID,-5.36,104.97,86.2,67,47,4.21,scattered clouds,0.0,0.0
216,Pevek,RU,69.7,170.31,12.63,94,100,7.56,light snow,0.0,0.2
217,Ilulissat,GL,69.22,-51.1,28.4,58,100,25.28,overcast clouds,0.0,0.0
218,Yuxia,CN,34.06,108.63,61.0,26,20,6.71,few clouds,0.0,0.0
219,Mount Isa,AU,-20.73,139.5,91.4,14,81,5.82,broken clouds,0.0,0.0
220,Grants Pass,US,42.44,-123.33,66.2,39,1,11.41,clear sky,0.0,0.0
221,Jacareacanga,BR,-6.22,-57.75,71.89,94,84,1.32,broken clouds,0.0,0.0
222,Quelimane,MZ,-17.88,36.89,71.83,93,16,6.08,moderate rain,3.36,0.0
223,Barra Dos Coqueiros,BR,-10.91,-37.04,79.7,81,74,8.97,light rain,0.18,0.0
224,Kokopo,PG,-4.35,152.26,83.44,78,100,4.56,light rain,1.51,0.0
225,Umuahia,NG,5.53,7.49,75.31,81,100,4.07,overcast clouds,0.0,0.0
226,Thinadhoo,MV,0.53,72.93,85.01,73,69,10.36,light rain,0.11,0.0
227,Palmer,US,42.16,-72.33,50.0,61,1,12.75,clear sky,0.0,0.0
228,Vestmanna,FO,62.16,-7.17,41.0,100,4,11.41,clear sky,0.0,0.0
229,Severnyy,RU,50.68,36.55,33.8,74,99,8.95,overcast clouds,0.0,0.0
230,Vila Do Maio,CV,15.13,-23.22,69.8,68,20,17.22,few clouds,0.0,0.0
231,Usakos,NA,-22.0,15.6,72.77,41,12,4.12,few clouds,0.0,0.0
232,Rodbyhavn,DK,54.65,11.35,44.01,68,0,8.12,clear sky,0.0,0.0
233,Cooma,AU,-36.23,149.13,60.8,41,40,24.16,scattered clouds,0.0,0.0
234,Umba,RU,66.69,34.34,31.66,97,100,6.15,overcast clouds,0.0,0.0
235,Tucuman,AR,-26.82,-65.22,66.2,82,0,5.82,clear sky,0.0,0.0
236,Shaunavon,CA,49.65,-108.42,43.23,42,53,11.07,broken clouds,0.0,0.0
237,Kilifi,KE,-3.63,39.85,78.4,82,100,15.05,light rain,0.89,0.0
238,Murray Bridge,AU,-35.12,139.27,66.0,51,92,8.99,overcast clouds,0.0,0.0
239,Coihaique,CL,-45.58,-72.07,39.2,93,75,3.36,broken clouds,0.0,0.0
240,Te Anau,NZ,-45.42,167.72,53.29,54,23,7.65,light rain,0.11,0.0
241,Lodwar,KE,3.12,35.6,77.94,51,100,4.74,overcast clouds,0.0,0.0
242,Namibe,AO,-15.2,12.15,74.39,73,74,1.28,light rain,1.97,0.0
243,Sumenep,ID,-7.02,113.87,86.56,66,100,2.73,overcast clouds,0.0,0.0
244,Kotelnich,RU,58.31,48.35,36.1,79,65,3.4,broken clouds,0.0,0.0
245,Maningrida,AU,-12.07,134.27,88.77,59,46,8.84,scattered clouds,0.0,0.0
246,Margate,GB,51.38,1.39,51.01,71,0,3.0,clear sky,0.0,0.0
247,Canyon Rim,US,40.71,-111.82,55.4,37,75,9.17,broken clouds,0.0,0.0
248,East London,ZA,-33.02,27.91,76.21,54,0,10.85,clear sky,0.0,0.0
249,Husavik,IS,66.04,-17.34,46.4,65,20,18.34,few clouds,0.0,0.0
250,Nome,US,64.5,-165.41,37.0,93,90,3.36,overcast clouds,0.0,0.0
251,Port Blair,IN,11.67,92.75,84.47,76,46,9.1,light rain,0.68,0.0
252,Antofagasta,CL,-23.65,-70.4,60.8,82,20,5.82,few clouds,0.0,0.0
253,Vestmannaeyjar,IS,63.44,-20.27,46.22,94,100,27.13,light rain,0.17,0.0
254,Coolum Beach,AU,-26.53,153.1,82.0,49,0,1.99,clear sky,0.0,0.0
255,Ostrovnoy,RU,68.05,39.51,24.48,97,46,6.55,scattered clouds,0.0,0.0
256,Dingle,PH,11.0,122.67,89.37,60,98,13.8,light rain,0.31,0.0
257,Kirakira,SB,-10.45,161.92,83.61,76,48,0.78,moderate rain,5.36,0.0
258,Yanam,IN,16.73,82.22,85.32,73,16,7.54,few clouds,0.0,0.0
259,Northam,GB,51.03,-4.22,50.0,82,100,5.99,overcast clouds,0.0,0.0
260,Kanniyakumari,IN,8.08,77.57,85.32,69,15,7.11,light rain,0.4,0.0
261,Ust-Kut,RU,56.79,105.77,30.36,74,0,7.63,clear sky,0.0,0.0
262,Puerto Suarez,BO,-18.95,-57.8,73.09,81,3,0.81,clear sky,0.0,0.0
263,Vallenar,CL,-28.57,-70.76,61.63,59,0,1.54,clear sky,0.0,0.0
264,Lufilufi,WS,-13.87,-171.6,84.0,83,92,5.01,moderate rain,4.63,0.0
265,Oranjestad,AW,12.52,-70.03,80.6,78,40,20.8,scattered clouds,0.0,0.0
266,Souillac,MU,-20.52,57.52,77.0,83,40,11.41,scattered clouds,0.0,0.0
267,Alekseyevka,RU,50.63,38.69,38.16,75,32,0.98,scattered clouds,0.0,0.0
268,Otavi,NA,-19.65,17.33,64.35,45,28,6.98,scattered clouds,0.0,0.0
269,Tupik,RU,54.43,119.93,21.76,78,100,18.77,light snow,0.0,0.11
270,Itigi,TZ,-5.7,34.48,62.1,66,100,3.06,overcast clouds,0.0,0.0
271,Kalianget,ID,-7.05,113.93,86.41,66,100,2.8,overcast clouds,0.0,0.0
272,Wawa,NG,9.9,4.42,80.71,67,100,9.17,overcast clouds,0.0,0.0
273,Ipixuna,BR,-1.76,-48.8,75.2,94,75,6.93,light rain,0.0,0.0
274,La Asuncion,VE,11.03,-63.86,89.6,59,1,14.99,clear sky,0.0,0.0
275,La Ronge,CA,55.1,-105.28,37.4,47,75,13.87,broken clouds,0.0,0.0
276,Gwadar,PK,25.12,62.33,80.29,75,8,7.81,clear sky,0.0,0.0
277,Verkhnyaya Inta,RU,65.98,60.31,34.02,94,100,8.34,light snow,0.0,0.27
278,Bilma,NE,18.69,12.92,82.11,13,88,7.27,overcast clouds,0.0,0.0
279,Russell,US,32.35,-85.2,62.6,93,20,5.82,thunderstorm,0.0,0.0
280,Vitre,FR,48.12,-1.21,53.6,87,100,5.82,light rain,0.61,0.0
281,Houma,US,29.6,-90.72,79.0,88,90,12.75,overcast clouds,0.0,0.0
282,Leningradskiy,RU,69.38,178.42,14.41,93,95,10.16,overcast clouds,0.0,0.0
283,Trairi,BR,-3.28,-39.27,78.84,83,8,2.42,clear sky,0.0,0.0
284,Ciparay,ID,-7.42,108.47,89.96,56,51,3.04,broken clouds,0.0,0.0
285,Opotiki,NZ,-38.08,177.28,66.99,76,100,1.99,light rain,0.12,0.0
286,Cheney,US,47.49,-117.58,59.0,47,75,5.57,broken clouds,0.0,0.0
287,Mpulungu,ZM,-8.76,31.11,71.06,58,58,5.95,broken clouds,0.0,0.0
288,Kodiak,US,57.79,-152.41,44.6,81,90,12.75,overcast clouds,0.0,0.0
289,Roebourne,AU,-20.78,117.13,89.76,44,89,9.84,overcast clouds,0.0,0.0
290,Otradnoye,RU,59.78,30.82,37.4,94,40,4.47,scattered clouds,0.0,0.0
291,San Jose De Rio Tinto,HN,14.93,-85.7,72.99,66,0,2.28,clear sky,0.0,0.0
292,Batsfjord,NO,70.63,29.72,37.4,86,75,17.22,shower rain,0.0,0.0
293,Carauari,BR,-4.88,-66.9,73.98,82,32,0.72,scattered clouds,0.0,0.0
294,San Borja,BO,-14.82,-66.85,69.37,76,28,1.88,scattered clouds,0.0,0.0
295,Belmonte,BR,-15.86,-38.88,73.4,83,75,4.7,broken clouds,0.0,0.0
296,Machico,PT,32.7,-16.77,59.0,77,20,2.24,few clouds,0.0,0.0
297,Killybegs,IE,54.63,-8.45,45.0,78,4,7.0,clear sky,0.0,0.0
