City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Pokhara,NP,2020-04-19 01:59:24,28.23,83.98,75.15,24,41,2.37
231,Grand Gaube,MU,2020-04-19 01:59:25,-20.01,57.66,77.0,78,75,13.87
232,Los Llanos De Aridane,ES,2020-04-19 01:59:27,28.66,-17.92,64.4,63,23,9.17
233,Beyneu,KZ,2020-04-19 01:59:31,45.32,55.2,61.14,33,99,12.12
234,Socorro,US,2020-04-19 01:59:33,31.65,-106.3,78.8,10,5,19.46
235,Bara,NG,2020-04-19 01:59:37,10.37,10.73,79.77,15,62,2.35
236,Tura,IN,2020-04-19 01:59:39,25.52,90.22,73.22,77,81,6.29
237,Berlevag,NO,2020-04-19 01:59:40,70.86,29.09,35.46,92,99,5.91
238,Strezhevoy,RU,2020-04-19 01:59:41,60.73,77.59,50.0,53,100,11.18
239,Bonavista,CA,2020-04-19 01:59:42,48.65,-53.11,28.17,96,44,8.63
240,Willmar,US,2020-04-19 01:55:26,45.12,-95.04,50.0,46,40,6.93
241,Moerai,PF,2020-04-19 01:59:45,-22.43,-151.33,81.12,75,15,8.16
242,Canutama,BR,2020-04-19 01:59:46,-6.53,-64.38,73.71,87,85,2.08
243,East London,ZA,2020-04-19 01:57:42,-33.02,27.91,68.09,61,0,14.14
244,Ossora,RU,2020-04-19 01:59:46,59.24,163.07,24.53,91,67,4.99
245,San Cristobal,VE,2020-04-19 01:59:49,7.77,-72.22,67.87,60,51,1.57
246,Ugoofaaru,MV,2020-04-19 01:59:50,5.67,73.0,85.98,75,14,12.5
247,Saint-Augustin,CA,2020-04-19 01:59:51,51.23,-58.65,24.03,93,7,11.16
248,Deputatskiy,RU,2020-04-19 01:59:53,69.3,139.9,4.78,77,100,3.31
249,Topeka,US,2020-04-19 01:57:22,39.05,-95.68,60.8,31,1,8.05
250,Fare,PF,2020-04-19 01:59:56,-16.7,-151.02,83.98,73,63,10.76
251,Lulea,SE,2020-04-19 01:59:57,65.58,22.15,30.2,86,53,3.36
252,Plouzane,FR,2020-04-19 02:00:04,48.38,-4.62,51.8,93,0,3.36
253,Sao Joao Da Barra,BR,2020-04-19 02:00:05,-21.64,-41.05,72.19,78,100,9.98
254,Kholodnyy,RU,2020-04-19 02:00:07,62.72,147.95,4.77,76,100,10.67
255,Matagami,CA,2020-04-19 01:58:43,49.75,-77.63,42.8,45,90,14.99
256,Sebastian,US,2020-04-19 01:56:31,35.17,-94.27,62.6,48,1,8.05
257,Brae,GB,2020-04-19 02:00:09,60.4,-1.35,42.8,93,0,2.24
258,Ciudad Bolivar,VE,2020-04-19 02:00:11,8.12,-63.55,83.44,48,39,15.61
259,Resistencia,AR,2020-04-19 02:00:11,-27.46,-58.98,64.0,100,0,1.12
260,Tooele,US,2020-04-19 02:00:13,40.53,-112.3,57.2,35,1,4.7
261,Ixtapa,MX,2020-04-19 02:00:14,20.7,-105.2,75.2,78,75,5.82
262,Poya,NC,2020-04-19 01:56:51,-21.35,165.15,81.03,65,17,7.45
263,Shibetsu,JP,2020-04-19 02:00:17,43.66,145.13,48.2,66,75,8.05
264,Inongo,CD,2020-04-19 02:00:18,-1.95,18.27,71.58,89,100,5.68
265,San Quintin,MX,2020-04-19 02:00:23,30.48,-115.95,59.72,74,1,16.24
266,Umea,SE,2020-04-19 02:00:23,63.83,20.26,26.6,86,7,5.32
267,Luderitz,NA,2020-04-19 01:59:49,-26.65,15.16,59.0,93,10,8.05
268,Port Hardy,CA,2020-04-19 01:59:43,50.7,-127.42,55.4,76,20,5.82
269,Pisco,PE,2020-04-19 01:58:24,-13.7,-76.22,69.8,77,0,13.87
270,Inhambane,MZ,2020-04-19 02:00:25,-23.86,35.38,73.27,80,1,12.97
271,Bredasdorp,ZA,2020-04-19 02:00:25,-34.53,20.04,48.2,93,94,5.82
272,Harper,LR,2020-04-19 02:00:28,4.38,-7.72,79.81,84,100,8.3
273,Nenjiang,CN,2020-04-19 02:00:29,49.18,125.22,63.19,27,100,10.67
274,Paungde,MM,2020-04-19 02:00:31,18.48,95.5,91.49,32,0,7.45
275,Launceston,AU,2020-04-19 02:00:32,-41.45,147.17,57.99,54,31,4.7
276,Ust-Barguzin,RU,2020-04-19 02:00:33,53.45,108.98,26.92,77,14,16.71
277,Nanortalik,GL,2020-04-19 02:00:33,60.14,-45.24,28.63,91,71,3.24
278,Saint-Louis,SN,2020-04-19 02:00:34,16.33,-15.0,65.35,71,1,11.97
279,Anadyr,RU,2020-04-19 02:00:35,64.75,177.48,14.0,85,90,38.03
280,Aquiraz,BR,2020-04-19 02:00:35,-3.9,-38.39,78.8,88,19,2.24
281,Kalabo,ZM,2020-04-19 02:00:35,-14.97,22.68,64.85,61,75,5.95
282,Seabra,BR,2020-04-19 02:00:36,-12.42,-41.77,69.8,100,75,6.93
283,Mahibadhoo,MV,2020-04-19 02:00:37,3.78,72.97,84.65,77,29,11.48
284,College,US,2020-04-19 02:00:37,64.86,-147.8,48.2,70,90,1.83
285,Rudbar,AF,2020-04-19 02:00:37,30.15,62.6,70.41,37,42,2.39
286,Ahipara,NZ,2020-04-19 02:00:38,-35.17,173.17,66.97,74,100,8.99
287,Manresa,ES,2020-04-19 02:00:42,41.73,1.83,57.0,89,100,4.29
288,Maldonado,UY,2020-04-19 02:00:46,-34.67,-54.92,62.6,93,0,8.05
289,Port-Gentil,GA,2020-04-19 02:00:48,-0.72,8.78,81.32,84,78,8.48
290,Sobolevo,RU,2020-04-19 02:00:49,54.43,31.9,33.19,84,100,7.31
291,Bilma,NE,2020-04-19 02:00:50,18.69,12.92,79.16,15,26,5.57
292,Kaufbeuren,DE,2020-04-19 02:00:51,47.88,10.62,53.01,93,99,5.82
293,Port Hedland,AU,2020-04-19 02:00:51,-20.32,118.57,95.0,34,15,8.05
294,Guerrero Negro,MX,2020-04-19 02:00:52,27.98,-114.06,60.64,72,0,19.42
295,Charagua,BO,2020-04-19 02:00:53,-19.8,-63.22,59.54,41,0,2.89
296,Peniche,PT,2020-04-19 02:00:54,39.36,-9.38,55.99,88,1,1.99
297,Iqaluit,CA,2020-04-19 01:59:49,63.75,-68.51,-2.0,70,20,5.82
298,Chifeng,CN,2020-04-19 02:00:55,42.27,118.96,60.71,28,100,12.1
299,Faanui,PF,2020-04-19 02:00:55,-16.48,-151.75,83.17,73,90,11.07
300,Mecca,SA,2020-04-19 01:56:28,21.43,39.83,74.61,47,100,1.34
301,Kasamwa,TZ,2020-04-19 02:00:56,-2.85,32.43,64.94,67,100,3.13
302,Batagay,RU,2020-04-19 02:00:58,67.63,134.63,7.11,83,87,3.18
303,Karasjok,NO,2020-04-19 02:01:00,69.47,25.51,35.6,93,100,28.86
304,Omboue,GA,2020-04-19 02:01:01,-1.57,9.26,78.39,87,41,2.1
305,Talnakh,RU,2020-04-19 02:01:01,69.49,88.4,35.6,80,100,35.79
